FullGeoName,Year,Reported human cases,Neuroinvasive disease cases
"AL, Bibb",2014,0,0
"AL, Bibb",2015,1,1
"AL, Bibb",2016,0,0
"AL, Bibb",2017,1,0
"AL, Bibb",2018,0,0
"AL, Bibb",2019,0,0
"AL, Bibb",2020,0,0
"AL, Bibb",2021,1,1
"AL, Bibb",2022,0,0
"AZ, Pima",2014,5,5
"AZ, Pima",2015,0,0
"AZ, Pima",2016,4,4
"AZ, Pima",2017,5,5
"AZ, Pima",2018,0,0
"AZ, Pima",2019,0,0
"AZ, Pima",2020,0,0
"AZ, Pima",2021,0,0
"AZ, Pima",2022,0,0
"CO, Logan",2014,4,2
"CO, Logan",2015,0,0
"CO, Logan",2016,3,2
"CO, Logan",2017,1,0
"CO, Logan",2018,4,2
"CO, Logan",2019,2,2
"CO, Logan",2020,0,0
"CO, Logan",2021,0,0
"CO, Logan",2022,0,0
"KS, Riley",2014,0,0
"KS, Riley",2015,1,0
"KS, Riley",2016,0,0
"KS, Riley",2017,0,0
"KS, Riley",2018,0,0
"KS, Riley",2019,0,0
"KS, Riley",2020,0,0
"KS, Riley",2021,0,0
"KS, Riley",2022,1,0
"MD, Anne Arundel",2014,0,0
"MD, Anne Arundel",2015,0,0
"MD, Anne Arundel",2016,0,0
"MD, Anne Arundel",2017,1,1
"MD, Anne Arundel",2018,0,0
"MD, Anne Arundel",2019,0,0
"MD, Anne Arundel",2020,0,0
"MD, Anne Arundel",2021,0,0
"MD, Anne Arundel",2022,0,0
"ND, Morton",2014,4,2
"ND, Morton",2015,1,1
"ND, Morton",2016,0,0
"ND, Morton",2017,3,0
"ND, Morton",2018,19,4
"ND, Morton",2019,0,0
"ND, Morton",2020,0,0
"ND, Morton",2021,2,0
"ND, Morton",2022,3,1
"ND, Stutsman",2014,1,0
"ND, Stutsman",2015,1,1
"ND, Stutsman",2016,3,0
"ND, Stutsman",2017,1,0
"ND, Stutsman",2018,0,0
"ND, Stutsman",2019,0,0
"ND, Stutsman",2020,0,0
"ND, Stutsman",2021,3,2
"ND, Stutsman",2022,1,1
"NM, Dona Ana",2014,3,2
"NM, Dona Ana",2015,4,4
"NM, Dona Ana",2016,1,1
"NM, Dona Ana",2017,3,1
"NM, Dona Ana",2018,2,1
"NM, Dona Ana",2019,3,3
"NM, Dona Ana",2020,2,2
"NM, Dona Ana",2021,0,0
"NM, Dona Ana",2022,0,0
"OK, Washita",2014,1,0
"OK, Washita",2015,0,0
"OK, Washita",2016,0,0
"OK, Washita",2017,0,0
"OK, Washita",2018,0,0
"OK, Washita",2019,0,0
"OK, Washita",2020,0,0
"OK, Washita",2021,0,0
"OK, Washita",2022,0,0
"TN, Sevier",2014,0,0
"TN, Sevier",2015,0,0
"TN, Sevier",2016,0,0
"TN, Sevier",2017,1,1
"TN, Sevier",2018,0,0
"TN, Sevier",2019,0,0
"TN, Sevier",2020,0,0
"TN, Sevier",2021,0,0
"TN, Sevier",2022,0,0
"TX, Wise",2014,0,0
"TX, Wise",2015,1,1
"TX, Wise",2016,1,1
"TX, Wise",2017,0,0
"TX, Wise",2018,0,0
"TX, Wise",2019,0,0
"TX, Wise",2020,0,0
"TX, Wise",2021,0,0
"TX, Wise",2022,0,0
"UT, San Juan",2014,0,0
"UT, San Juan",2015,0,0
"UT, San Juan",2016,0,0
"UT, San Juan",2017,2,2
"UT, San Juan",2018,0,0
"UT, San Juan",2019,0,0
"UT, San Juan",2020,0,0
"UT, San Juan",2021,0,0
"UT, San Juan",2022,0,0
"VA, Warren",2014,0,0
"VA, Warren",2015,0,0
"VA, Warren",2016,0,0
"VA, Warren",2017,1,1
"VA, Warren",2018,0,0
"VA, Warren",2019,0,0
"VA, Warren",2020,0,0
"VA, Warren",2021,0,0
"VA, Warren",2022,0,0
"WA, Clark",2014,0,0
"WA, Clark",2015,0,0
"WA, Clark",2016,0,0
"WA, Clark",2017,1,1
"WA, Clark",2018,0,0
"WA, Clark",2019,0,0
"WA, Clark",2020,0,0
"WA, Clark",2021,0,0
"WA, Clark",2022,0,0
"WI, Lincoln",2014,0,0
"WI, Lincoln",2015,0,0
"WI, Lincoln",2016,0,0
"WI, Lincoln",2017,0,0
"WI, Lincoln",2018,0,0
"WI, Lincoln",2019,0,0
"WI, Lincoln",2020,1,1
"WI, Lincoln",2021,0,0
"WI, Lincoln",2022,0,0
"WY, Park",2014,0,0
"WY, Park",2015,0,0
"WY, Park",2016,0,0
"WY, Park",2017,0,0
"WY, Park",2018,0,0
"WY, Park",2019,0,0
"WY, Park",2020,0,0
"WY, Park",2021,0,0
"WY, Park",2022,1,0
