"siteID","abundance"
"ABBY",0
"ABBY",0
"ABBY",598
"ABBY",355
"ABBY",481
"ABBY",0
"ABBY",406
"ABBY",403
"BARR",0
"BARR",0
"BARR",434
"BARR",465
"BARR",774
"BARR",0
"BARR",655
"BARR",433
"BART",454
"BART",684
"BART",411
"BART",512
"BART",402
"BART",525
"BART",906
"BART",581
"BLAN",0
"BLAN",0
"BLAN",265
"BLAN",307
"BLAN",289
"BLAN",292
"BLAN",252
"BLAN",257
"BONA",0
"BONA",0
"BONA",546
"BONA",368
"BONA",380
"BONA",392
"BONA",418
"BONA",516
"CLBJ",0
"CLBJ",0
"CLBJ",1374
"CLBJ",1919
"CLBJ",1499
"CLBJ",1500
"CLBJ",1756
"CLBJ",1422
"DCFS",0
"DCFS",0
"DCFS",694
"DCFS",777
"DCFS",973
"DCFS",938
"DCFS",1022
"DCFS",468
"DEJU",0
"DEJU",0
"DEJU",639
"DEJU",694
"DEJU",619
"DEJU",733
"DEJU",665
"DEJU",505
"DELA",578
"DELA",0
"DELA",621
"DELA",411
"DELA",577
"DELA",532
"DELA",540
"DELA",569
"DSNY",724
"DSNY",1062
"DSNY",852
"DSNY",856
"DSNY",875
"DSNY",0
"DSNY",793
"DSNY",823
"GRSM",0
"GRSM",1130
"GRSM",1688
"GRSM",619
"GRSM",1103
"GRSM",1259
"GRSM",1313
"GRSM",1215
"GUAN",1871
"GUAN",0
"GUAN",1896
"GUAN",1822
"GUAN",1911
"GUAN",1877
"GUAN",1848
"GUAN",1793
"HARV",985
"HARV",1279
"HARV",1053
"HARV",497
"HARV",912
"HARV",1088
"HARV",1641
"HARV",1033
"HEAL",0
"HEAL",0
"HEAL",505
"HEAL",421
"HEAL",464
"HEAL",390
"HEAL",398
"HEAL",365
"JERC",0
"JERC",921
"JERC",1020
"JERC",1006
"JERC",1009
"JERC",1023
"JERC",1086
"JERC",1135
"JORN",0
"JORN",0
"JORN",864
"JORN",743
"JORN",520
"JORN",937
"JORN",497
"JORN",558
"KONA",0
"KONA",0
"KONA",0
"KONA",580
"KONA",620
"KONA",633
"KONA",415
"KONA",697
"KONZ",0
"KONZ",0
"KONZ",2415
"KONZ",1505
"KONZ",1538
"KONZ",1912
"KONZ",1367
"KONZ",2029
"LAJA",0
"LAJA",0
"LAJA",1022
"LAJA",689
"LAJA",734
"LAJA",690
"LAJA",651
"LAJA",707
"LENO",0
"LENO",0
"LENO",410
"LENO",520
"LENO",904
"LENO",935
"LENO",928
"LENO",894
"MLBS",0
"MLBS",0
"MLBS",0
"MLBS",700
"MLBS",942
"MLBS",994
"MLBS",985
"MLBS",968
"MOAB",984
"MOAB",0
"MOAB",785
"MOAB",500
"MOAB",789
"MOAB",568
"MOAB",536
"MOAB",614
"NIWO",329
"NIWO",0
"NIWO",445
"NIWO",605
"NIWO",353
"NIWO",409
"NIWO",315
"NIWO",405
"NOGP",0
"NOGP",0
"NOGP",673
"NOGP",764
"NOGP",1013
"NOGP",817
"NOGP",658
"NOGP",456
"OAES",0
"OAES",0
"OAES",1430
"OAES",1430
"OAES",1182
"OAES",1156
"OAES",1137
"OAES",1119
"ONAQ",0
"ONAQ",0
"ONAQ",527
"ONAQ",349
"ONAQ",477
"ONAQ",528
"ONAQ",294
"ONAQ",654
"ORNL",0
"ORNL",1660
"ORNL",2134
"ORNL",1378
"ORNL",1685
"ORNL",1744
"ORNL",1598
"ORNL",1552
"OSBS",0
"OSBS",1060
"OSBS",910
"OSBS",529
"OSBS",678
"OSBS",617
"OSBS",727
"OSBS",711
"PUUM",0
"PUUM",0
"PUUM",0
"PUUM",355
"PUUM",0
"PUUM",0
"PUUM",380
"PUUM",0
"RMNP",0
"RMNP",0
"RMNP",813
"RMNP",898
"RMNP",709
"RMNP",795
"RMNP",726
"RMNP",811
"SCBI",271
"SCBI",521
"SCBI",542
"SCBI",562
"SCBI",583
"SCBI",497
"SCBI",389
"SCBI",382
"SERC",0
"SERC",0
"SERC",823
"SERC",816
"SERC",824
"SERC",784
"SERC",406
"SERC",464
"SJER",0
"SJER",0
"SJER",1579
"SJER",2215
"SJER",2253
"SJER",0
"SJER",1543
"SJER",1513
"SOAP",0
"SOAP",0
"SOAP",762
"SOAP",717
"SOAP",622
"SOAP",0
"SOAP",650
"SOAP",742
"STEI",0
"STEI",760
"STEI",1170
"STEI",710
"STEI",1121
"STEI",738
"STEI",920
"STEI",821
"TALL",1460
"TALL",1778
"TALL",2088
"TALL",1357
"TALL",1570
"TALL",1538
"TALL",1589
"TALL",1508
"TEAK",0
"TEAK",0
"TEAK",1676
"TEAK",1690
"TEAK",1717
"TEAK",0
"TEAK",1551
"TEAK",1722
"TOOL",0
"TOOL",0
"TOOL",203
"TOOL",163
"TOOL",136
"TOOL",0
"TOOL",171
"TOOL",165
"TREE",0
"TREE",322
"TREE",347
"TREE",334
"TREE",394
"TREE",383
"TREE",400
"TREE",330
"UKFS",0
"UKFS",0
"UKFS",820
"UKFS",671
"UKFS",760
"UKFS",717
"UKFS",672
"UKFS",1061
"UNDE",0
"UNDE",709
"UNDE",1052
"UNDE",767
"UNDE",1134
"UNDE",808
"UNDE",966
"UNDE",684
"WOOD",1247
"WOOD",0
"WOOD",1696
"WOOD",1865
"WOOD",1998
"WOOD",1915
"WOOD",2057
"WOOD",881
"WREF",0
"WREF",0
"WREF",0
"WREF",721
"WREF",584
"WREF",0
"WREF",564
"WREF",711
"YELL",0
"YELL",0
"YELL",0
"YELL",1482
"YELL",1515
"YELL",1500
"YELL",1254
"YELL",0
